CIDADE;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
MAGE;-22.6556;-43.0402;Baixada Fluminense;3
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;2
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;2
NITEROI;-22.8832;-43.1034;Grande Niterói;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;2
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;2
ARARUAMA;-22.8727;-42.3434;Região dos Lagos;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;2
